,molregno_F,assay_F,value_F,molregno_H,assay_H,value_H
1,65,33574,7.64,64.0,33574,9.16
2,67,33574,7.4,64.0,33574,9.16
3,123,50467,110.0,108.0,50467,500.0
4,128,50467,40.0,109.0,50467,500.0
5,214,206322,1.6,226.0,206322,1.0
9,214,48697,4.1,226.0,48697,100.0
13,214,35530,3.0,226.0,35530,3.4
164,643,95394,74.0,429.0,95394,15.0
167,1110,305698,3.0,1159.0,305698,2.4
312,1110,305668,9.3,1159.0,305668,32.0
455,1133,149542,294.0,1200.0,149542,546.0
458,1133,149397,1001.0,1200.0,149397,445.0
462,1287,37362,5.4,1140.0,37362,13.0
469,1287,544113,5.27,1140.0,544113,4.89
476,1287,909386,5.27,1140.0,909386,4.89
477,2397,197463,23.0,1140.0,197463,33.0
486,2397,37362,7.3,1140.0,37362,13.0
493,2397,544113,5.14,1140.0,544113,4.89
500,2397,909386,5.14,1140.0,909386,4.89
507,1477,129920,1.5,1698.0,129920,1.6
514,1795,75719,3.2,124496.0,75719,31.0
518,1795,75718,12.8,124496.0,75718,500.0
522,1795,54376,600.0,124496.0,54376,250.0
1194,2273,90532,10.8,2291.0,90532,1.7
1197,2301,90532,7.64,2291.0,90532,1.7
1201,99796,224216,0.43,2291.0,224216,1.72
1204,2406,223295,28.0,2375.0,223295,57.0
1212,2639,147931,0.864,2749.0,147931,3.12
1241,2639,96270,12.2,2749.0,96270,23.5
1270,2639,86308,7.88,2749.0,86308,13.1
1299,2639,85979,3.57,2749.0,85979,14.7
1324,2844,147931,8.55,2749.0,147931,3.12
1353,2844,96270,15.7,2749.0,96270,23.5
1382,2844,86308,16.1,2749.0,86308,13.1
1411,2844,85979,3.3,2749.0,85979,14.7
1440,2844,149253,21.7,2749.0,149253,29.6
1681,2745,82506,9.0,3058.0,82506,9.0
1684,2745,178772,10.0,3058.0,178772,12.0
1688,2977,178772,13.0,3058.0,178772,12.0
1689,2977,82506,44.0,3058.0,82506,9.0
1691,2980,82506,0.16,3058.0,82506,9.0
1694,2980,178772,16.0,3058.0,178772,12.0
1698,2981,178772,44.0,3058.0,178772,12.0
1699,2981,82506,55.0,3058.0,82506,9.0
1704,2982,178772,20.0,3058.0,178772,12.0
1705,2982,82506,100.0,3058.0,82506,9.0
1710,2983,178772,5.0,3058.0,178772,12.0
1711,2983,82506,44.0,3058.0,82506,9.0
1716,2984,178772,2.0,3058.0,178772,12.0
1717,2984,82506,80.0,3058.0,82506,9.0
1724,3027,178772,9.0,3058.0,178772,12.0
1725,3027,82506,40.0,3058.0,82506,9.0
1727,2774,162259,1.0,3036.0,162259,10.0
1730,2774,162122,1.0,3036.0,162122,10.0
1731,2782,66568,0.7,2753.0,66568,0.3
1747,2782,226209,50.0,2753.0,226209,50.0
1763,2782,216999,50.0,2753.0,216999,16.0
1779,2782,152963,32.0,2753.0,152963,80.0
1795,2782,152945,500.0,2753.0,152945,500.0
1811,2782,5002,2.2,2753.0,5002,4.5
1851,2955,152774,18.0,2874.0,152774,14.0
1853,2998,66568,100.0,3032.0,66568,100.0
1857,2998,152963,500.0,3032.0,152963,500.0
1861,2998,152945,500.0,3032.0,152945,500.0
1862,3105,82506,5.0,2939.0,82506,6.0
1865,3284,37962,2.8,3380.0,37962,10.5
1866,3379,37962,7.8,3271.0,37962,32.0
1867,3645,139556,35.8,4001.0,139556,2.7
1868,3734,65930,0.221,3641.0,65930,0.282
1871,3734,65924,30.0,3641.0,65924,30.0
2226,4029,139556,3.4,4030.0,139556,5.4
2227,4107,43653,50.0,4115.0,43653,35.0
2230,4107,43650,2.4,4115.0,43650,2.7
2231,4108,43653,29.0,4116.0,43653,40.0
2236,4108,43650,2.0,4116.0,43650,5.0
2239,4365,30505,2.0,4210.0,30505,9.8
2240,4401,51176,1.8,4356.0,51176,1.0
2249,4788,217519,0.049,4986.0,217519,0.165
2258,4788,206508,0.23,4986.0,206508,0.67
2265,4943,217519,0.078,4986.0,217519,0.165
2274,4943,206508,0.32,4986.0,206508,0.67
2297,5178,48248,26.0,5444.0,48248,152.0
2298,5291,48248,915.0,5292.0,48248,1083.0
2311,6678,139726,32.0,6871.0,139726,15.0
2321,6818,139726,21.0,6871.0,139726,15.0
2331,6910,139726,98.0,6871.0,139726,15.0
2342,6910,496612,4.57,6871.0,496612,10.0
2343,6910,496612,4.57,6871.0,496612,10.0
2344,6910,496612,4.57,6871.0,496612,10.0
2351,6805,222791,2.35,6967.0,222791,1.85
2352,7067,222791,4.9,6967.0,222791,1.85
2353,7212,40166,1.7,7081.0,40166,3.5
2356,7212,40165,2.8,7081.0,40165,14.7
2359,7328,40166,7.0,7081.0,40166,3.5
2362,7328,40165,62.5,7081.0,40165,14.7
2363,7309,40166,50.0,7113.0,40166,62.5
2366,7526,31628,1e-06,128667.0,31628,1e-05
2370,127226,31628,0.0001,128667.0,31628,1e-05
2371,7546,31334,1.4e-08,99589.0,31334,2.2e-08
2382,98814,31334,2.3e-08,99589.0,31334,2.2e-08
2383,98847,31334,2.1e-08,99589.0,31334,2.2e-08
2385,99480,31334,2.3e-08,99589.0,31334,2.2e-08
2387,99482,31334,2e-08,99589.0,31334,2.2e-08
2388,8036,70118,3.0,8053.0,70118,2.9
2389,8054,70118,1.5,7871.0,70118,6.0
2390,8057,70118,6.3,7871.0,70118,6.0
2391,8091,70118,7.6,7871.0,70118,6.0
2392,8095,70118,4.9,8056.0,70118,0.7
2398,8127,28965,3.5,100299.0,28965,3.0
2413,8148,28965,12.5,100299.0,28965,3.0
2428,8424,28965,4.0,100299.0,28965,3.0
2629,8427,206517,490.0,5028.0,206517,2.0
3086,8444,159609,0.38,8465.0,159609,1.9
